# x_m,y_m,w_tr_right_m,w_tr_left_m
703.903758,13574.797402,69.858,70.142
706.903148,13549.986030,69.829,70.171
709.912623,13525.175791,69.799,70.201
712.894868,13500.362771,69.769,70.231
715.812565,13475.543054,69.739,70.261
718.628255,13450.712714,69.710,70.290
721.296595,13425.867176,69.680,70.320
723.760439,13401.000894,69.684,70.316
725.987860,13376.110845,69.692,70.308
728.070308,13351.206265,69.700,70.300
730.126608,13326.299098,69.708,70.292
732.196504,13301.393336,69.716,70.284
734.278427,13276.488814,69.725,70.275
736.370445,13251.585331,69.733,70.267
738.470628,13226.682689,69.741,70.259
740.577045,13201.780685,69.749,70.251
742.687767,13176.879121,69.757,70.243
744.800862,13151.977795,69.765,70.235
746.914401,13127.076507,69.774,70.226
749.026594,13102.175072,69.782,70.218
751.136925,13077.273436,69.790,70.210
753.245547,13052.371616,69.798,70.202
755.352620,13027.469628,69.806,70.194
757.458302,13002.567489,69.814,70.186
759.562753,12977.665215,69.823,70.177
761.666132,12952.762825,69.831,70.169
763.768598,12927.860334,69.839,70.161
765.870310,12902.957759,69.847,70.153
767.971428,12878.055117,69.855,70.145
770.072111,12853.152426,69.864,70.136
772.172518,12828.249701,69.872,70.128
774.272808,12803.346960,69.880,70.120
776.373140,12778.444219,69.888,70.112
778.473675,12753.541496,69.896,70.104
780.574570,12728.638807,69.904,70.096
782.675985,12703.736168,69.913,70.087
784.778080,12678.833598,69.921,70.079
786.881001,12653.931111,69.929,70.071
788.984785,12629.028711,69.937,70.063
791.089410,12604.126395,69.945,70.055
793.194851,12579.224161,69.953,70.047
795.301085,12554.322007,69.962,70.038
797.408090,12529.419930,69.970,70.030
799.515841,12504.517927,69.978,70.022
801.624316,12479.615995,69.986,70.014
803.733490,12454.714133,69.994,70.006
805.843341,12429.812337,70.002,69.998
807.953845,12404.910605,70.011,69.989
810.064979,12380.008935,70.019,69.981
812.176719,12355.107323,70.027,69.973
814.289043,12330.205768,70.035,69.965
816.401925,12305.304266,70.043,69.957
818.515344,12280.402815,70.052,69.948
820.629276,12255.501412,70.053,69.947
822.743697,12230.600056,70.048,69.952
824.858584,12205.698742,70.043,69.957
826.973914,12180.797470,70.038,69.962
829.089663,12155.896235,70.032,69.968
831.205808,12130.995036,70.027,69.973
833.322325,12106.093870,70.022,69.978
835.439192,12081.192735,70.017,69.983
837.556384,12056.291627,70.012,69.988
839.673879,12031.390544,70.007,69.993
841.791652,12006.489484,70.002,69.998
843.909682,11981.588445,69.997,70.003
846.027943,11956.687422,69.992,70.008
848.146413,11931.786415,69.987,70.013
850.265069,11906.885420,69.982,70.018
852.383887,11881.984434,69.977,70.023
854.502843,11857.083456,69.972,70.028
856.621914,11832.182482,69.966,70.034
858.741078,11807.281511,69.961,70.039
860.860310,11782.380538,69.956,70.044
862.979587,11757.479563,69.951,70.049
865.098899,11732.578583,69.949,70.051
867.218244,11707.677600,69.963,70.037
869.337620,11682.776612,69.976,70.024
871.457028,11657.875620,69.990,70.010
873.576467,11632.974625,70.003,69.997
875.695935,11608.073627,70.013,69.987
877.815433,11583.172625,70.012,69.988
879.934959,11558.271619,70.012,69.988
882.054513,11533.370611,70.011,69.989
884.174095,11508.469600,70.010,69.990
886.293702,11483.568586,70.010,69.990
888.413335,11458.667570,70.009,69.991
890.532993,11433.766551,70.009,69.991
