0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00
3.037982432078570127e+01,3.078777077915146947e+02,7.000000000000000000e+00,7.000000000000000000e+00
3.837526272929972038e+01,3.755550102954730392e+02,7.000000000000000000e+00,7.000000000000000000e+00
4.812855821754783392e+01,4.909785097250714898e+02,7.000000000000000000e+00,7.000000000000000000e+00
5.265858557843603194e+01,5.441228140303865075e+02,7.000000000000000000e+00,7.000000000000000000e+00
5.369154857512330636e+01,5.563364191241562366e+02,7.000000000000000000e+00,7.000000000000000000e+00
8.444719843013444915e+01,9.175666533578187227e+02,7.000000000000000000e+00,7.000000000000000000e+00
8.475727854005526751e+01,9.202786050522699952e+02,7.000000000000000000e+00,7.000000000000000000e+00
8.507734180556144565e+01,9.223684270093217492e+02,7.000000000000000000e+00,7.000000000000000000e+00
8.598104692896595225e+01,9.247491638604551554e+02,7.000000000000000000e+00,7.000000000000000000e+00
8.740026612044312060e+01,9.268428517179563642e+02,7.000000000000000000e+00,7.000000000000000000e+00
8.943770748126553372e+01,9.282609991515055299e+02,7.000000000000000000e+00,7.000000000000000000e+00
9.226264300727052614e+01,9.296374772293493152e+02,7.000000000000000000e+00,7.000000000000000000e+00
9.523117858613841236e+01,9.300812144996598363e+02,7.000000000000000000e+00,7.000000000000000000e+00
9.867675984359811991e+01,9.300933384718373418e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.108893362531089224e+02,9.287364551546052098e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.140549477336462587e+02,9.285587303638458252e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.178425116179860197e+02,9.288609314542263746e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.211979997524758801e+02,9.301059702560305595e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.228938033371232450e+02,9.311340721612796187e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.246501301399548538e+02,9.326845618849620223e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.259937681368319318e+02,9.341002769973129034e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.272268211368937045e+02,9.359266760032624006e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.287033371392753907e+02,9.394537766193971038e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.290072848911513574e+02,9.416879753526300192e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.292091481627430767e+02,9.441329060476273298e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.290133669413626194e+02,9.465986556839197874e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.288605170156224631e+02,9.479424377214163542e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.263879455265705474e+02,9.571884287018328905e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.245789616066031158e+02,9.639480988522991538e+02,7.000000000000000000e+00,7.000000000000000000e+00
1.071845510241109878e+02,1.028925298798829317e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.027140503569971770e+02,1.049918741222470999e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.000182100198580883e+02,1.067252103079110384e+03,7.000000000000000000e+00,7.000000000000000000e+00
9.836797775281593204e+01,1.086511191572062671e+03,7.000000000000000000e+00,7.000000000000000000e+00
9.784484606410842389e+01,1.111118200769647956e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.078033252669265494e+02,1.242863391928374767e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.089062345798010938e+02,1.252855248838663101e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.139219959371839650e+02,1.280637034875340760e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.179996118821436539e+02,1.295905555745586753e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.246417972361086868e+02,1.315593823154456913e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.356822398541262373e+02,1.341374824349768460e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.480252024498186074e+02,1.364705109907314181e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.622380634233122692e+02,1.386053313942626119e+03,7.000000000000000000e+00,7.000000000000000000e+00
1.744845661654835567e+02,1.401328494139946997e+03,7.000000000000000000e+00,7.000000000000000000e+00
