# x_m,y_m,w_tr_right_m,w_tr_left_m
52.882966,-137.752728,7.316,6.684
53.831215,-137.362078,7.381,6.619
54.754513,-136.926840,7.433,6.567
55.649712,-136.446855,7.414,6.586
56.513663,-135.921965,7.395,6.605
57.343219,-135.352011,7.377,6.623
58.135232,-134.736833,7.358,6.642
58.886553,-134.076273,7.339,6.661
59.594506,-133.370852,7.320,6.680
60.258074,-132.623484,7.301,6.699
60.876600,-131.837605,7.282,6.718
61.449431,-131.016651,7.264,6.736
61.975911,-130.164060,7.309,6.691
62.455386,-129.283269,7.392,6.608
62.887201,-128.377714,7.475,6.525
63.270700,-127.450833,7.558,6.442
63.605229,-126.506061,7.641,6.359
63.890132,-125.546837,7.672,6.328
64.124756,-124.576596,7.624,6.376
64.308445,-123.598776,7.575,6.425
64.440545,-122.616814,7.526,6.474
64.520400,-121.634145,7.478,6.522
64.547355,-120.654209,7.429,6.571
64.520756,-119.680440,7.381,6.619
64.439948,-118.716276,7.332,6.668
64.304275,-117.765154,7.284,6.716
64.113084,-116.830510,7.235,6.765
63.865719,-115.915783,7.232,6.768
63.561525,-115.024407,7.272,6.728
63.199853,-114.159813,7.313,6.687
62.781268,-113.323907,7.353,6.647
62.309036,-112.515201,7.393,6.607
61.786787,-111.731752,7.434,6.566
61.218150,-110.971618,7.474,6.526
60.606755,-110.232854,7.456,6.544
59.956231,-109.513518,7.409,6.591
59.270210,-108.811667,7.363,6.637
58.552319,-108.125356,7.317,6.683
57.806190,-107.452642,7.271,6.729
57.035452,-106.791583,7.224,6.776
56.243734,-106.140235,7.178,6.822
55.434666,-105.496655,7.132,6.868
54.611878,-104.858898,7.085,6.915
53.779000,-104.225023,7.039,6.961
52.939662,-103.593085,6.993,7.007
52.097492,-102.961142,6.947,7.053
51.256122,-102.327250,6.900,7.100
50.419180,-101.689465,6.854,7.146
49.590297,-101.045845,6.808,7.192
48.773102,-100.394446,6.761,7.239
47.971226,-99.733324,6.715,7.285
47.188272,-99.060551,6.669,7.331
46.426489,-98.374980,6.623,7.377
45.686099,-97.676634,6.576,7.424
44.967153,-96.965630,6.530,7.470
44.269705,-96.242089,6.484,7.516
43.593809,-95.506129,6.437,7.563
42.939517,-94.757869,6.391,7.609
42.306884,-93.997428,6.345,7.655
41.695961,-93.224925,6.331,7.669
41.106804,-92.440478,6.392,7.608
40.539464,-91.644206,6.453,7.547
39.993996,-90.836229,6.514,7.486
39.470452,-90.016665,6.575,7.425
38.968886,-89.185633,6.636,7.364
38.489351,-88.343252,6.697,7.303
38.031901,-87.489640,6.758,7.242
37.596589,-86.624917,6.819,7.181
37.183467,-85.749202,6.849,7.151
36.792590,-84.862613,6.830,7.170
36.424011,-83.965269,6.812,7.188
36.077783,-83.057289,6.794,7.206
35.753959,-82.138792,6.775,7.225
35.452570,-81.209906,6.757,7.243
35.173088,-80.270971,6.739,7.261
34.914413,-79.322547,6.720,7.280
34.675417,-78.365205,6.702,7.298
34.454974,-77.399514,6.694,7.306
34.251957,-76.426045,6.692,7.308
34.065238,-75.445367,6.691,7.309
33.893690,-74.458051,6.689,7.311
33.736188,-73.464666,6.687,7.313
33.591602,-72.465784,6.685,7.315
33.458807,-71.461973,6.684,7.316
33.336675,-70.453804,6.682,7.318
33.224080,-69.441847,6.680,7.320
33.119894,-68.426672,6.678,7.322
33.022990,-67.408849,6.677,7.323
32.932242,-66.388948,6.675,7.325
32.846522,-65.367539,6.673,7.327
32.764703,-64.345192,6.671,7.329
32.685658,-63.322478,6.670,7.330
32.608260,-62.299965,6.668,7.332
32.531383,-61.278225,6.666,7.334
32.453943,-60.257804,6.664,7.336
32.375486,-59.238915,6.663,7.337
32.296022,-58.221521,6.661,7.339
32.215574,-57.205584,6.659,7.341
32.134163,-56.191061,6.657,7.343
32.051810,-55.177913,6.656,7.344
31.968537,-54.166098,6.654,7.346
31.884367,-53.155576,6.652,7.348
31.799319,-52.146306,6.651,7.349
31.713417,-51.138247,6.649,7.351
31.626682,-50.131360,6.647,7.353
31.539136,-49.125602,6.645,7.355
31.450799,-48.120933,6.644,7.356
31.361694,-47.117314,6.642,7.358
31.271843,-46.114701,6.640,7.360
31.181266,-45.113057,6.638,7.362
31.089987,-44.112338,6.637,7.363
30.998026,-43.112505,6.635,7.365
30.905405,-42.113517,6.633,7.367
30.812145,-41.115334,6.631,7.369
30.718269,-40.117914,6.630,7.370
30.623798,-39.121217,6.628,7.372
30.528753,-38.125202,6.626,7.374
30.433157,-37.129828,6.624,7.376
30.337031,-36.135055,6.623,7.377
30.240396,-35.140842,6.621,7.379
30.143275,-34.147149,6.619,7.381
30.045688,-33.153934,6.617,7.383
29.947659,-32.161157,6.616,7.384
29.849207,-31.168777,6.614,7.386
29.750355,-30.176753,6.612,7.388
29.651125,-29.185045,6.610,7.390
29.551538,-28.193612,6.609,7.391
29.451615,-27.202414,6.607,7.393
29.351379,-26.211409,6.605,7.395
29.250852,-25.220556,6.604,7.396
29.150054,-24.229816,6.602,7.398
29.049007,-23.239148,6.600,7.400
28.947733,-22.248510,6.598,7.402
28.846255,-21.257862,6.597,7.403
28.744592,-20.267163,6.595,7.405
28.642768,-19.276373,6.593,7.407
28.540803,-18.285451,6.591,7.409
28.438720,-17.294356,6.590,7.410
28.336540,-16.303047,6.588,7.412
28.234284,-15.311485,6.586,7.414
28.131975,-14.319627,6.584,7.416
28.029633,-13.327433,6.583,7.417
27.927281,-12.334863,6.581,7.419
27.824941,-11.341876,6.579,7.421
27.722633,-10.348431,6.577,7.423
27.620380,-9.354487,6.576,7.424
27.518203,-8.360005,6.574,7.426
27.416124,-7.364942,6.572,7.428
27.314164,-6.369258,6.570,7.430
27.212346,-5.372913,6.569,7.431
27.110690,-4.375866,6.567,7.433
27.009219,-3.378076,6.565,7.435
26.907954,-2.379503,6.563,7.437
26.806917,-1.380105,6.562,7.438
26.706129,-0.379842,6.560,7.440
26.605612,0.621326,6.558,7.442
26.505388,1.623441,6.557,7.443
26.405478,2.626543,6.555,7.445
26.305905,3.630673,6.553,7.447
26.206689,4.635872,6.551,7.449
26.107852,5.642179,6.550,7.450
26.009416,6.649637,6.548,7.452
25.911403,7.658285,6.546,7.454
25.813835,8.668165,6.544,7.456
25.716732,9.679317,6.543,7.457
25.620117,10.691782,6.541,7.459
25.524011,11.705600,6.539,7.461
25.428436,12.720813,6.537,7.463
25.333413,13.737460,6.536,7.464
25.238965,14.755584,6.534,7.466
25.145113,15.775223,6.532,7.468
25.051878,16.796420,6.530,7.470
24.959282,17.819215,6.529,7.471
24.867347,18.843648,6.527,7.473
24.776094,19.869761,6.525,7.475
24.685546,20.897593,6.523,7.477
24.595723,21.927186,6.522,7.478
24.506648,22.958581,6.520,7.480
24.418342,23.991817,6.518,7.482
24.330827,25.026937,6.516,7.484
24.244894,26.063481,6.515,7.485
24.163591,27.099532,6.513,7.487
24.090381,28.132900,6.511,7.489
24.028726,29.161400,6.509,7.491
23.982090,30.182842,6.508,7.492
23.953935,31.195040,6.506,7.494
23.947723,32.195806,6.504,7.496
23.966917,33.182952,6.503,7.497
24.014980,34.154291,6.486,7.514
24.095374,35.107635,6.451,7.549
24.211562,36.040796,6.417,7.583
24.367006,36.951588,6.382,7.618
24.565169,37.837822,6.347,7.653
24.809514,38.697311,6.313,7.687
25.103503,39.527868,6.278,7.722
25.450598,40.327304,6.243,7.757
25.854264,41.093432,6.209,7.791
26.317961,41.824065,6.199,7.801
26.845152,42.517014,6.211,7.789
27.439301,43.170094,6.222,7.778
28.103870,43.781115,6.234,7.766
28.842262,44.347908,6.245,7.755
29.653509,44.869655,6.257,7.743
30.529333,45.347790,6.269,7.731
31.460763,45.783964,6.280,7.720
32.438827,46.179829,6.292,7.708
33.454552,46.537034,6.304,7.696
34.498966,46.857230,6.309,7.691
35.563097,47.142068,6.307,7.693
36.637973,47.393198,6.306,7.694
37.714623,47.612272,6.304,7.696
38.784074,47.800939,6.302,7.698
39.837477,47.960861,6.300,7.700
40.870807,48.094115,6.299,7.701
41.886285,48.203320,6.297,7.703
42.886550,48.291130,6.295,7.705
43.874240,48.360197,6.293,7.707
44.851995,48.413175,6.292,7.708
45.822453,48.452718,6.290,7.710
46.788253,48.481481,6.288,7.712
47.752033,48.502116,6.286,7.714
48.716433,48.517276,6.285,7.715
49.684091,48.529617,6.283,7.717
50.657593,48.541752,6.281,7.719
51.638067,48.555187,6.280,7.720
52.625036,48.570217,6.278,7.722
53.617940,48.587070,6.276,7.724
54.616220,48.605975,6.274,7.726
55.619318,48.627162,6.273,7.727
56.626672,48.650861,6.271,7.729
57.637725,48.677301,6.269,7.731
58.651917,48.706710,6.267,7.733
59.668688,48.739320,6.266,7.734
60.687479,48.775358,6.264,7.736
61.707731,48.815055,6.262,7.738
62.728884,48.858641,6.260,7.740
63.750379,48.906343,6.259,7.741
64.771657,48.958392,6.257,7.743
65.792158,49.015018,6.255,7.745
66.811322,49.076449,6.253,7.747
67.828591,49.142916,6.252,7.748
68.843406,49.214647,6.250,7.750
69.855206,49.291872,6.248,7.752
70.863433,49.374821,6.246,7.754
71.867526,49.463722,6.245,7.755
72.866967,49.558761,6.243,7.757
73.861854,49.659414,6.241,7.759
74.852778,49.764598,6.240,7.760
75.840341,49.873215,6.238,7.762
76.825149,49.984164,6.236,7.764
77.807805,50.096347,6.234,7.766
78.788913,50.208665,6.233,7.767
79.769077,50.320018,6.231,7.769
80.748900,50.429308,6.229,7.771
81.728987,50.535435,6.227,7.773
82.709941,50.637300,6.226,7.774
83.692366,50.733804,6.224,7.776
84.676866,50.823848,6.222,7.778
85.664045,50.906333,6.220,7.780
86.654507,50.980160,6.219,7.781
87.648855,51.044230,6.217,7.783
88.647694,51.097443,6.215,7.785
89.651627,51.138701,6.213,7.787
90.661258,51.166904,6.212,7.788
91.677191,51.180953,6.210,7.790
92.700030,51.179749,6.208,7.792
93.730196,51.162181,6.206,7.794
94.766281,51.127013,6.205,7.795
95.805818,51.072938,6.203,7.797
96.846325,50.998648,6.201,7.799
97.885324,50.902836,6.200,7.800
98.920335,50.784192,6.198,7.802
99.948876,50.641409,6.196,7.804
100.968469,50.473180,6.212,7.788
101.976633,50.278195,6.243,7.757
102.970888,50.055147,6.273,7.727
103.948755,49.802729,6.304,7.696
104.907753,49.519631,6.335,7.665
105.845401,49.204547,6.365,7.635
106.759222,48.856167,6.396,7.604
107.646733,48.473184,6.427,7.573
108.505455,48.054291,6.457,7.543
109.332908,47.598178,6.489,7.511
110.126613,47.103538,6.523,7.477
110.884089,46.569063,6.556,7.444
111.602855,45.993445,6.590,7.410
112.280433,45.375376,6.623,7.377
112.914342,44.713548,6.657,7.343
113.502538,44.007106,6.690,7.310
114.045516,43.257817,6.724,7.276
114.544677,42.468393,6.757,7.243
115.001428,41.641549,6.791,7.209
115.417173,40.779997,6.751,7.249
115.793317,39.886449,6.701,7.299
116.131265,38.963621,6.650,7.350
116.432423,38.014224,6.600,7.400
116.698196,37.040971,6.550,7.450
116.929988,36.046577,6.499,7.501
117.129204,35.033754,6.462,7.538
117.297250,34.005215,6.473,7.527
117.435531,32.963674,6.484,7.516
117.545451,31.911844,6.495,7.505
117.628416,30.852437,6.506,7.494
117.685831,29.788168,6.517,7.483
117.719100,28.721748,6.528,7.472
117.729629,27.655893,6.540,7.460
117.718823,26.593314,6.551,7.449
117.688087,25.536724,6.562,7.438
117.638826,24.488838,6.573,7.427
117.572063,23.451862,6.584,7.416
117.487423,22.426154,6.595,7.405
117.384214,21.411648,6.607,7.393
117.261742,20.408277,6.618,7.382
117.119312,19.415975,6.629,7.371
116.956230,18.434676,6.640,7.360
116.771804,17.464314,6.645,7.355
116.565339,16.504823,6.638,7.362
116.336142,15.556136,6.632,7.368
116.083518,14.618188,6.625,7.375
115.806774,13.690912,6.619,7.381
115.505216,12.774242,6.612,7.388
115.178151,11.868111,6.606,7.394
114.824884,10.972455,6.599,7.401
114.444721,10.087206,6.593,7.407
114.036970,9.212299,6.586,7.414
113.600936,8.347667,6.579,7.421
113.135925,7.493244,6.573,7.427
112.641244,6.648964,6.566,7.434
112.116199,5.814760,6.560,7.440
111.560096,4.990568,6.553,7.447
110.972242,4.176323,6.545,7.455
110.352546,3.372919,6.538,7.462
109.702350,2.583544,6.531,7.469
109.023207,1.811725,6.523,7.477
108.316672,1.060986,6.516,7.484
107.584298,0.334853,6.509,7.491
106.827638,-0.363148,6.501,7.499
106.048248,-1.029492,6.494,7.506
105.247681,-1.660654,6.486,7.514
104.427490,-2.253107,6.479,7.521
103.589229,-2.803326,6.472,7.528
102.734453,-3.307786,6.465,7.535
101.864715,-3.762961,6.458,7.542
100.981569,-4.165325,6.452,7.548
100.086568,-4.511354,6.445,7.555
99.181267,-4.797521,6.439,7.561
98.267219,-5.020300,6.432,7.568
97.345979,-5.176167,6.425,7.575
96.419099,-5.261596,6.419,7.581
95.488135,-5.273061,6.420,7.580
94.554639,-5.207037,6.453,7.547
93.620173,-5.060048,6.485,7.515
92.686847,-4.831971,6.518,7.482
91.757650,-4.528084,6.550,7.450
90.835649,-4.154154,6.583,7.417
89.923913,-3.715948,6.615,7.385
89.025512,-3.219233,6.648,7.352
88.143513,-2.669776,6.680,7.320
87.280986,-2.073344,6.713,7.287
86.441000,-1.435704,6.747,7.253
85.626622,-0.762622,6.794,7.206
84.840923,-0.059867,6.841,7.159
84.086886,0.666808,6.888,7.112
83.364108,1.412138,6.935,7.065
82.667667,2.171512,6.982,7.018
81.992329,2.940365,7.029,6.971
81.332861,3.714131,7.076,6.924
80.684031,4.488245,7.123,6.877
80.040603,5.258140,7.170,6.830
79.397346,6.019252,7.217,6.783
78.749026,6.767015,7.264,6.736
78.090409,7.496863,7.311,6.689
77.416261,8.204230,7.358,6.642
76.721425,8.884567,7.405,6.595
76.002879,9.533760,7.452,6.548
75.260024,10.148187,7.499,6.501
74.492387,10.724255,7.546,6.454
73.699497,11.258369,7.593,6.407
72.880883,11.746935,7.616,6.384
72.036071,12.186359,7.587,6.413
71.164592,12.573047,7.558,6.442
70.265973,12.903404,7.529,6.471
69.339742,13.173837,7.500,6.500
68.385428,13.380750,7.471,6.529
