# x_m,y_m,w_tr_right_m,w_tr_left_m
352.782099,461.808337,7.185,6.815
351.420704,457.003262,7.156,6.844
350.038345,452.199745,7.165,6.835
348.642856,447.394346,7.058,6.942
347.242067,442.583621,6.835,7.165
345.848396,437.763653,6.706,7.294
344.534765,432.924243,6.789,7.211
343.416866,428.050759,6.787,7.213
342.611286,423.128470,7.024,6.976
342.233877,418.144287,7.189,6.811
342.376726,413.137928,7.424,6.576
343.103616,408.212001,7.144,6.856
344.476675,403.472784,6.886,7.114
346.555270,399.024962,6.768,7.232
349.310606,394.922338,6.909,7.091
352.609440,391.158434,7.241,6.759
356.312479,387.723281,7.362,6.638
360.280650,384.606750,7.128,6.872
364.406011,381.777085,6.830,7.170
368.643354,379.158935,6.729,7.271
372.955006,376.671710,6.768,7.232
377.303365,374.234989,6.877,7.123
381.660325,371.791488,6.986,7.014
386.016887,369.330484,7.083,6.917
390.366344,366.846838,7.152,6.848
394.701990,364.335411,7.192,6.808
399.017118,361.791062,7.191,6.809
403.305022,359.208653,7.147,6.853
407.558995,356.583043,7.050,6.950
411.772330,353.909094,6.879,7.121
415.930227,351.169905,6.661,7.339
419.989019,348.306624,6.566,7.434
423.898601,345.251050,6.931,7.069
427.608870,341.934978,7.290,6.710
431.073336,338.303574,7.195,6.805
434.269087,334.389239,7.146,6.854
437.182671,330.259374,6.935,7.065
439.800659,325.981472,6.843,7.157
442.111664,321.613038,7.055,6.945
444.117573,317.146567,6.962,7.038
445.825584,312.548535,6.937,7.063
447.242908,307.785351,6.867,7.133
448.372873,302.829544,6.916,7.084
449.169171,297.731825,7.218,6.782
449.551227,292.596886,7.302,6.698
449.437781,287.530494,7.254,6.746
448.754598,282.632553,6.909,7.091
447.516853,277.928321,6.599,7.401
445.801336,273.391615,6.605,7.395
443.686055,268.995235,6.861,7.139
441.249019,264.711984,7.108,6.892
438.568235,260.514662,7.076,6.924
435.721713,256.376069,7.021,6.979
432.787459,252.269006,7.003,6.997
429.842319,248.166675,7.055,6.945
426.927809,244.054428,7.055,6.945
424.044601,239.931667,7.063,6.937
421.191091,235.798577,7.005,6.995
418.365674,231.655342,6.927,7.073
415.566746,227.502146,6.854,7.146
412.792701,223.339176,6.757,7.243
410.041936,219.166616,6.832,7.168
407.312845,214.984650,6.986,7.014
404.603824,210.793463,7.090,6.910
401.913269,206.593240,7.185,6.815
399.239575,202.384166,7.084,6.916
396.581137,198.166426,7.126,6.874
393.936350,193.940204,7.123,6.877
391.303611,189.705685,7.186,6.814
388.681315,185.463054,7.207,6.793
386.067857,181.212495,7.086,6.914
383.461669,176.954387,7.122,6.878
380.861319,172.689781,7.038,6.962
378.265398,168.419874,6.958,7.042
375.672500,164.145861,6.843,7.157
373.081219,159.868940,6.754,7.246
370.490149,155.590307,6.825,7.175
367.897882,151.311160,6.791,7.209
365.303014,147.032695,6.839,7.161
362.704136,142.756109,6.858,7.142
360.099843,138.482598,6.974,7.026
357.488728,134.213359,6.893,7.107
354.869385,129.949589,6.920,7.080
352.240407,125.692486,7.017,6.983
349.600388,121.443244,7.139,6.861
346.947921,117.203062,7.253,6.747
344.281600,112.973136,7.258,6.742
341.600154,108.754552,7.041,6.959
338.903984,104.547042,7.034,6.966
336.194619,100.349419,7.150,6.850
333.473609,96.160481,7.153,6.847
330.742503,91.979026,7.095,6.905
328.002852,87.803851,7.038,6.962
325.256206,83.633754,7.121,6.879
322.504114,79.467534,6.932,7.068
319.748127,75.303987,6.759,7.241
316.989795,71.141911,6.734,7.266
314.230667,66.980104,6.736,7.264
311.472293,62.817364,6.881,7.119
308.716223,58.652488,6.954,7.046
305.964008,54.484273,6.990,7.010
303.217196,50.311519,6.923,7.077
300.477339,46.133021,7.143,6.857
297.745967,41.947592,7.126,6.874
295.022536,37.755526,7.118,6.882
292.302554,33.559939,7.113,6.887
289.581087,29.364263,7.111,6.889
286.853204,25.171929,7.100,6.900
284.113970,20.986369,7.075,6.925
281.358453,16.811014,7.037,6.963
278.581720,12.649296,6.967,7.033
275.778838,8.504646,6.872,7.128
272.951573,4.376319,6.739,7.261
270.124155,0.249563,6.755,7.245
267.325513,-3.893304,7.061,6.939
264.584580,-8.069965,7.017,6.983
261.942136,-12.301410,6.980,7.020
259.511475,-16.628859,7.137,6.863
257.433307,-21.101182,7.397,6.603
255.848395,-25.767264,7.288,6.712
254.873447,-30.658352,6.886,7.114
254.478572,-35.698195,6.522,7.478
254.586470,-40.770370,6.688,7.312
255.212245,-45.762176,6.803,7.197
256.420526,-50.571409,7.434,6.566
258.147642,-55.190542,7.424,6.576
260.245508,-59.673811,7.101,6.899
262.564590,-64.076511,6.967,7.033
264.962595,-68.451253,6.918,7.082
267.382221,-72.819127,6.890,7.110
269.821388,-77.180742,6.880,7.120
272.278957,-81.536356,6.896,7.104
274.753789,-85.886231,6.920,7.080
277.244743,-90.230627,6.969,7.031
279.750681,-94.569803,7.028,6.972
282.270460,-98.904021,7.107,6.893
284.801093,-103.234219,7.194,6.806
287.289147,-107.579831,7.232,6.768
289.625939,-111.980552,7.010,6.990
291.699972,-116.477106,6.597,7.403
293.400155,-121.109980,6.696,7.304
294.657439,-125.894747,7.057,6.943
295.480850,-130.800726,7.301,6.699
295.887903,-135.792204,6.998,7.002
295.895912,-140.833330,6.852,7.148
295.501912,-145.874380,6.966,7.034
294.665443,-150.839969,7.110,6.890
293.341987,-155.651938,7.041,6.959
291.487036,-160.232138,6.838,7.162
289.094458,-164.533617,6.912,7.088
286.282942,-168.610908,6.942,7.058
283.196516,-172.539142,6.980,7.020
279.979195,-176.393448,6.980,7.020
276.745548,-180.233683,6.988,7.012
273.514550,-184.070141,6.994,7.006
270.285815,-187.903080,6.998,7.002
267.058960,-191.732758,7.004,6.996
263.833600,-195.559430,7.012,6.988
260.609351,-199.383355,7.017,6.983
257.385827,-203.204789,7.023,6.977
254.162644,-207.023990,7.020,6.980
250.939419,-210.841214,7.023,6.977
247.715765,-214.656718,7.026,6.974
244.491299,-218.470760,7.025,6.975
241.265637,-222.283597,7.015,6.985
238.038392,-226.095485,7.012,6.988
234.809182,-229.906683,7.005,6.995
231.577621,-233.717446,6.993,7.007
228.343325,-237.528032,6.980,7.020
225.106103,-241.338793,6.969,7.031
221.867964,-245.151162,6.957,7.043
218.632320,-248.967258,6.946,7.054
215.402602,-252.789211,6.949,7.051
212.182243,-256.619153,6.960,7.040
208.974677,-260.459214,6.987,7.013
205.783335,-264.311524,7.036,6.964
202.611650,-268.178214,7.107,6.893
199.462942,-272.061346,7.130,6.870
196.337574,-275.961161,7.051,6.949
193.232738,-279.875954,6.989,7.011
190.145473,-283.803921,6.952,7.048
187.072815,-287.743260,6.934,7.066
184.011801,-291.692168,6.933,7.067
180.959469,-295.648842,6.941,7.059
177.912856,-299.611480,6.957,7.043
174.869003,-303.578279,6.982,7.018
171.825469,-307.547444,7.005,6.995
168.780745,-311.517197,7.024,6.976
165.733420,-315.485757,7.048,6.952
162.682084,-319.451348,7.060,6.940
159.625328,-323.412191,7.068,6.932
156.561742,-327.366507,7.065,6.935
153.489916,-331.312519,7.052,6.948
150.408440,-335.248448,7.031,6.969
147.317952,-339.174407,6.988,7.012
144.225628,-343.096539,6.942,7.058
141.139942,-347.022191,6.908,7.092
138.069371,-350.958707,6.890,7.110
135.022392,-354.913434,6.900,7.100
132.007480,-358.893718,6.952,7.048
129.033111,-362.906903,7.058,6.942
126.107762,-366.960336,7.229,6.771
123.234991,-371.057175,6.852,7.148
120.389783,-375.176243,6.944,7.056
117.536831,-379.287599,7.042,6.958
114.640811,-383.361289,7.071,6.929
111.666403,-387.367359,7.215,6.785
108.578284,-391.275854,7.256,6.744
105.341131,-395.056822,6.933,7.067
101.919624,-398.680309,6.806,7.194
98.280220,-402.113587,6.710,7.290
94.409060,-405.293263,6.868,7.132
90.304527,-408.136879,7.007,6.993
85.965184,-410.561688,7.110,6.890
81.390826,-412.487765,7.178,6.822
76.612164,-413.906065,6.916,7.084
71.692353,-414.881922,6.874,7.126
66.696085,-415.484195,7.005,6.995
61.686683,-415.781806,7.066,6.934
56.693293,-415.845263,7.080,6.920
51.709287,-415.746738,6.925,7.075
46.726345,-415.558482,6.915,7.085
41.736204,-415.352403,6.990,7.010
36.735325,-415.170036,7.006,6.994
31.728544,-414.999038,7.040,6.960
26.721561,-414.821536,7.056,6.944
21.720043,-414.619802,7.059,6.941
16.726842,-414.388711,7.026,6.974
11.739830,-414.145474,6.983,7.017
6.756366,-413.909588,6.947,7.053
1.773810,-413.700550,6.934,7.066
-3.210480,-413.537859,6.968,7.032
-8.199142,-413.441011,7.045,6.955
-13.194818,-413.429504,6.976,7.024
-18.200147,-413.522835,6.906,7.094
-23.213960,-413.741082,6.922,7.078
-28.223271,-414.106119,7.111,6.889
-33.212804,-414.640167,7.113,6.887
-38.167283,-415.365450,7.267,6.733
-43.071433,-416.304189,7.051,6.949
-47.909979,-417.478608,6.892,7.108
-52.667645,-418.910927,6.911,7.089
-57.329156,-420.623370,6.840,7.160
-61.879366,-422.633631,6.799,7.201
-66.303867,-424.933977,6.984,7.016
-70.588504,-427.507812,7.074,6.926
-74.719125,-430.338529,6.980,7.020
-78.681576,-433.409521,7.251,6.749
-82.461704,-436.704180,7.231,6.769
-86.045356,-440.205901,7.075,6.925
-89.418378,-443.898075,6.946,7.054
-92.568171,-447.764125,6.853,7.147
-95.498724,-451.787759,7.010,6.990
-98.224070,-455.952865,7.043,6.957
-100.758380,-460.243329,6.895,7.105
-103.115827,-464.643040,6.773,7.227
-105.310583,-469.135886,6.824,7.176
-107.356821,-473.705756,7.137,6.863
-109.268712,-478.336537,7.258,6.742
-111.060461,-483.012333,7.309,6.691
-112.747048,-487.722381,7.100,6.900
-114.344247,-492.461158,6.940,7.060
-115.867863,-497.223378,6.859,7.141
